날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2023-07-26,48800,48800,46650,47800,3798977,-2.149437052,35720,카카오
2023-07-27,47500,50600,47500,50600,2861543,5.857740586,35720,카카오
2023-07-28,50200,51400,49600,50600,1539813,0,35720,카카오
2023-07-31,50900,51800,50000,51300,2204300,1.383399209,35720,카카오
2023-08-01,51800,55300,51800,54900,7074120,7.01754386,35720,카카오
2023-08-02,55100,55100,52300,53200,2936126,-3.096539162,35720,카카오
2023-08-03,52800,53800,52300,53300,2146867,0.187969925,35720,카카오
2023-08-04,53800,55000,51000,51800,3173204,-2.814258912,35720,카카오
2023-08-07,51700,54000,51200,52700,2755342,1.737451737,35720,카카오
2023-08-08,53500,53600,51800,51800,1512333,-1.707779886,35720,카카오
2023-08-09,52100,53200,52100,52800,1095062,1.930501931,35720,카카오
2023-08-10,52300,53100,51900,52600,1645198,-0.378787879,35720,카카오
2023-08-11,51400,52500,50600,51600,1591602,-1.901140684,35720,카카오
2023-08-14,51700,52000,50600,50700,1062345,-1.744186047,35720,카카오
2023-08-16,50300,51100,49850,50300,1125125,-0.788954635,35720,카카오
2023-08-17,50000,50100,49150,49250,1640558,-2.087475149,35720,카카오
2023-08-18,48650,49300,48200,48450,1384622,-1.624365482,35720,카카오
2023-08-21,48500,49450,48250,48400,1010367,-0.103199174,35720,카카오
2023-08-22,48550,49400,48400,48650,1131155,0.516528926,35720,카카오
2023-08-23,48700,49700,48450,48900,1344907,0.513874615,35720,카카오
2023-08-24,49450,50100,48900,49100,1735760,0.408997955,35720,카카오
2023-08-25,48000,48550,47600,48100,1330506,-2.036659878,35720,카카오
2023-02-28,60800,61400,60500,60600,13715861,0.165289256,5930,삼성전자
2023-03-02,60900,61800,60500,60800,13095682,0.330033003,5930,삼성전자
2023-03-03,61000,61200,60500,60500,10711405,-0.493421053,5930,삼성전자
2023-03-06,61100,61600,60800,61500,13630602,1.652892562,5930,삼성전자
2023-03-07,61400,61400,60700,60700,11473280,-1.300813008,5930,삼성전자
2023-03-08,60100,60500,59900,60300,14161857,-0.658978583,5930,삼성전자
2023-03-09,60500,60800,59900,60100,14334499,-0.331674959,5930,삼성전자
2023-03-10,59500,59700,59100,59500,11902471,-0.998336106,5930,삼성전자
2023-03-13,59900,60200,59300,60000,12779724,0.840336134,5930,삼성전자
2023-03-14,59400,59500,59000,59000,12147346,-1.666666667,5930,삼성전자
2023-03-15,60000,60300,59600,59800,10482149,1.355932203,5930,삼성전자
2023-03-16,59200,60200,59100,59900,10611939,0.16722408,5930,삼성전자
2023-03-17,60800,61300,60600,61300,14090110,2.337228715,5930,삼성전자
2023-03-20,61100,61200,60200,60200,9618009,-1.794453507,5930,삼성전자
2023-03-21,60500,60700,60100,60300,8318514,0.166112957,5930,삼성전자
2023-03-22,61000,61200,60500,61100,8978591,1.326699834,5930,삼성전자
2023-03-23,60600,62300,60600,62300,15381057,1.963993453,5930,삼성전자
2023-03-24,62700,63300,62300,63000,18278602,1.123595506,5930,삼성전자
2023-03-27,62600,62800,62000,62100,11039331,-1.428571429,5930,삼성전자
2023-03-28,62400,62900,62100,62900,11614118,1.288244767,5930,삼성전자
2023-03-29,62500,62700,62200,62700,11216008,-0.317965024,5930,삼성전자
2023-03-30,63700,63700,63100,63200,15684377,0.797448166,5930,삼성전자
2023-03-31,64000,64000,63700,64000,14094479,1.265822785,5930,삼성전자
2023-04-03,64000,64000,63000,63100,11973133,-1.40625,5930,삼성전자
2023-04-04,63400,63800,62800,63600,11120514,0.792393027,5930,삼성전자
2023-04-05,63700,64000,63400,63900,9176149,0.471698113,5930,삼성전자
2023-04-06,63500,63600,62300,62300,14992747,-2.503912363,5930,삼성전자
2023-04-07,63800,65200,63800,65000,27476120,4.333868379,5930,삼성전자
2023-04-10,64800,66300,64700,65700,18777166,1.076923077,5930,삼성전자
2023-04-11,66200,66200,65400,65900,16323183,0.304414003,5930,삼성전자
2023-04-12,65800,66200,65300,66000,15021313,0.151745068,5930,삼성전자
2023-04-13,65600,66100,65400,66100,15091022,0.151515152,5930,삼성전자
2023-04-14,66600,66600,65000,65100,16176490,-1.512859304,5930,삼성전자
2023-04-17,65000,65600,64700,65300,13486618,0.307219662,5930,삼성전자
2023-04-18,65900,66000,64800,65600,14802060,0.45941807,5930,삼성전자
2023-04-19,65500,65800,65300,65500,10255985,-0.152439024,5930,삼성전자
2023-04-20,65100,65300,64600,65300,9501169,-0.305343511,5930,삼성전자
2023-04-21,65800,65900,65400,65700,10538622,0.612557427,5930,삼성전자
2023-04-24,65300,65700,64800,65200,12986581,-0.761035008,5930,삼성전자
2023-04-25,65300,65400,63400,63600,16193271,-2.45398773,5930,삼성전자
2023-04-26,63600,64300,63300,64100,12664541,0.786163522,5930,삼성전자
2023-04-27,64100,65000,63300,64600,14779601,0.780031201,5930,삼성전자
2023-04-28,65200,65900,65000,65500,19699481,1.393188854,5930,삼성전자
2023-05-02,66000,66300,65100,65700,14396948,0.305343511,5930,삼성전자
2023-05-03,65100,65600,64900,65400,8876749,-0.456621005,5930,삼성전자
2023-05-04,65600,65700,64700,65100,9791064,-0.458715596,5930,삼성전자
2023-05-08,66300,66300,65400,65900,9405365,1.228878648,5930,삼성전자
2023-05-09,65800,65800,65100,65300,9366861,-0.91047041,5930,삼성전자
2023-05-10,65500,65500,64300,64600,13057727,-1.071975498,5930,삼성전자
2023-05-11,64700,65100,64200,64200,11648905,-0.619195046,5930,삼성전자
2023-05-12,63700,64600,63600,64100,8693913,-0.15576324,5930,삼성전자
2023-05-15,64100,64600,63900,64500,8172021,0.624024961,5930,삼성전자
2023-05-16,65800,65900,65300,65400,12334657,1.395348837,5930,삼성전자
2023-05-17,65900,65900,64800,65000,10745504,-0.611620795,5930,삼성전자
2023-05-18,66000,66200,65700,66200,14431704,1.846153846,5930,삼성전자
2023-05-19,67800,68400,67500,68400,20349345,3.32326284,5930,삼성전자
2023-05-22,68400,69000,68000,68500,14470308,0.14619883,5930,삼성전자
2023-05-23,68500,68700,68100,68400,8561643,-0.145985401,5930,삼성전자
2023-05-24,68100,68700,68000,68500,8192896,0.14619883,5930,삼성전자
2023-05-25,69900,70000,68700,68800,14231160,0.437956204,5930,삼성전자
2023-05-26,69800,70400,69500,70300,19549511,2.180232558,5930,삼성전자
2023-05-30,71300,72300,71200,72300,27476897,2.844950213,5930,삼성전자
2023-05-31,72400,72500,71000,71400,25666087,-1.244813278,5930,삼성전자
2023-06-01,70900,71600,70600,70900,14669296,-0.700280112,5930,삼성전자
2023-06-02,71700,72200,71600,72200,12161798,1.833568406,5930,삼성전자
2023-06-05,72700,72700,71400,71700,12686829,-0.692520776,5930,삼성전자
2023-06-07,71300,71600,70800,71000,14796613,-0.976290098,5930,삼성전자
2023-06-08,70400,70900,70000,70900,19165568,-0.14084507,5930,삼성전자
2023-06-09,71100,72300,70800,72000,15050209,1.551480959,5930,삼성전자
2023-06-12,72100,72400,70800,71000,12064287,-1.388888889,5930,삼성전자
2023-06-13,71700,72200,71600,72000,13227285,1.408450704,5930,삼성전자
2023-06-14,72100,72200,71100,71900,12541046,-0.138888889,5930,삼성전자
2023-06-15,72100,72300,71300,71500,13614994,-0.556328234,5930,삼성전자
2023-06-16,71800,71900,70900,71800,15373696,0.41958042,5930,삼성전자
2023-06-19,71300,71700,70900,71200,11100887,-0.835654596,5930,삼성전자
2023-06-20,70700,71400,70400,71400,11557883,0.280898876,5930,삼성전자
2023-06-21,70700,71200,70400,70500,10626603,-1.260504202,5930,삼성전자
2023-06-22,70200,71500,70100,71300,11411007,1.134751773,5930,삼성전자
2023-06-23,72000,72200,71600,71600,12329484,0.420757363,5930,삼성전자
2023-06-26,71700,72500,71500,72400,10541901,1.117318436,5930,삼성전자
2023-06-27,72500,72600,72000,72600,9442997,0.276243094,5930,삼성전자
2023-06-28,72600,72700,72000,72700,8783093,0.137741047,5930,삼성전자
2023-06-29,73100,73400,72400,72400,12229967,-0.412654746,5930,삼성전자
2023-06-30,72500,72700,71700,72200,11694765,-0.276243094,5930,삼성전자
2023-07-03,72700,73200,72600,73000,10722181,1.108033241,5930,삼성전자
2023-07-04,73400,73600,72900,73000,10214350,0,5930,삼성전자
2023-07-05,73000,73300,71900,72000,12310610,-1.369863014,5930,삼성전자
2023-07-06,71900,72400,71500,71600,14777667,-0.555555556,5930,삼성전자
2023-07-07,71100,71400,69800,69900,17308877,-2.374301676,5930,삼성전자
2023-07-10,70000,70400,69200,69500,11713926,-0.572246066,5930,삼성전자
2023-07-11,70200,71500,70100,71500,12177392,2.877697842,5930,삼성전자
2023-07-12,71200,72000,71100,71900,10375581,0.559440559,5930,삼성전자
2023-07-13,72400,72600,71900,71900,14417279,0,5930,삼성전자
2023-07-14,72500,73400,72400,73400,15882519,2.086230876,5930,삼성전자
2023-07-17,73200,73500,72800,73300,10060049,-0.136239782,5930,삼성전자
2023-07-18,73200,73500,72000,72000,11697900,-1.773533424,5930,삼성전자
2023-07-19,72700,72800,71300,71700,10896412,-0.416666667,5930,삼성전자
2023-07-20,71100,71500,70800,71000,9732730,-0.976290098,5930,삼성전자
2023-07-21,70400,70400,69400,70300,16528926,-0.985915493,5930,삼성전자
2023-07-24,70100,70900,69900,70400,13418597,0.142247511,5930,삼성전자
2023-07-25,70000,70500,69800,70000,14314945,-0.568181818,5930,삼성전자
2023-07-26,69800,70600,68100,69800,30016221,-0.285714286,5930,삼성전자
2023-07-27,69900,71700,69300,71700,24261179,2.722063037,5930,삼성전자
2023-07-28,71800,72400,70100,70600,19420683,-1.534170153,5930,삼성전자
2023-07-31,70900,71000,69800,69800,13035420,-1.133144476,5930,삼성전자
2023-08-01,70100,71200,70000,71100,12299254,1.862464183,5930,삼성전자
2023-08-02,70700,71000,69800,69900,13835020,-1.687763713,5930,삼성전자
2023-08-03,69900,70200,68500,68800,20087090,-1.573676681,5930,삼성전자
2023-08-04,68800,69100,68200,68300,12360193,-0.726744186,5930,삼성전자
2023-08-07,67700,69200,67600,68500,10968505,0.292825769,5930,삼성전자
2023-08-08,69000,69100,67400,67600,14664709,-1.313868613,5930,삼성전자
2023-08-09,68000,69600,67900,68900,17259673,1.923076923,5930,삼성전자
2023-08-10,68300,68500,67800,68000,10227311,-1.306240929,5930,삼성전자
2023-08-11,68400,68800,67500,67500,9781038,-0.735294118,5930,삼성전자
2023-08-14,67500,67900,66900,67300,9352343,-0.296296296,5930,삼성전자
2023-08-16,66700,67100,66300,67000,13174578,-0.44576523,5930,삼성전자
2023-08-17,66300,66800,66000,66700,10778652,-0.447761194,5930,삼성전자
2023-08-18,66000,66700,65800,66300,11745006,-0.59970015,5930,삼성전자
2023-08-21,66600,67100,66300,66600,9720067,0.452488688,5930,삼성전자
2023-08-22,67200,67700,66300,66600,10500242,0,5930,삼성전자
2023-08-23,66700,67100,66400,67100,9549352,0.750750751,5930,삼성전자
2023-08-24,68300,68700,67900,68200,15044463,1.639344262,5930,삼성전자
2023-08-25,67100,67400,66900,67100,7032462,-1.612903226,5930,삼성전자
2023-02-28,83200,83900,81300,82300,292162,-0.121359223,3550,LG
2023-03-02,80700,83400,80500,83200,308145,1.093560146,3550,LG
2023-03-03,82600,83600,82200,83100,162252,-0.120192308,3550,LG
2023-03-06,84100,84200,82900,83400,195499,0.36101083,3550,LG
2023-03-07,83200,84100,81900,82100,139962,-1.558752998,3550,LG
2023-03-08,81000,82700,80500,82400,263821,0.365408039,3550,LG
2023-03-09,82400,82800,80000,80600,329197,-2.184466019,3550,LG
2023-03-10,80000,89000,79500,85900,1407001,6.575682382,3550,LG
2023-03-13,88200,92600,85800,88300,1294831,2.793946449,3550,LG
2023-03-14,86200,88100,84800,85300,605237,-3.397508494,3550,LG
2023-03-15,85400,88800,84400,88600,554268,3.86869871,3550,LG
2023-03-16,87600,91900,87300,90900,803531,2.595936795,3550,LG
2023-03-17,91700,91800,89400,90500,647892,-0.440044004,3550,LG
2023-03-20,90000,90100,86200,87000,341713,-3.867403315,3550,LG
2023-03-21,87000,88000,85000,85700,360866,-1.494252874,3550,LG
2023-03-22,85600,85700,83000,83800,493323,-2.217036173,3550,LG
2023-03-23,83400,84200,82000,83800,343308,0,3550,LG
2023-03-24,82500,83700,82400,83000,203166,-0.954653938,3550,LG
2023-03-27,83500,83800,82000,83000,179839,0,3550,LG
2023-03-28,82500,83900,82500,83200,163432,0.240963855,3550,LG
2023-03-29,83700,84400,82700,83500,193279,0.360576923,3550,LG
2023-03-30,83300,83800,81200,81600,308791,-2.275449102,3550,LG
2023-03-31,81700,83300,81300,82800,311357,1.470588235,3550,LG
2023-04-03,82600,83400,82000,83200,229308,0.483091787,3550,LG
2023-04-04,83400,84900,82900,84600,215582,1.682692308,3550,LG
2023-04-05,84700,85300,84000,84300,179610,-0.354609929,3550,LG
2023-04-06,83800,84300,82700,82800,209660,-1.779359431,3550,LG
2023-04-07,82700,83800,82300,83600,177638,0.966183575,3550,LG
2023-04-10,83200,85200,82900,84500,173108,1.076555024,3550,LG
2023-04-11,84100,86300,83500,85400,302369,1.065088757,3550,LG
2023-04-12,85300,98000,85300,93500,1527113,9.484777518,3550,LG
2023-04-13,96700,97700,91000,93000,1316446,-0.534759358,3550,LG
2023-04-14,93000,93200,88400,92100,672497,-0.967741935,3550,LG
2023-04-17,91000,91400,88000,88400,452965,-4.017372421,3550,LG
2023-04-18,88200,92300,88100,91000,431912,2.941176471,3550,LG
2023-04-19,90500,92700,90400,91700,265067,0.769230769,3550,LG
2023-04-20,91700,91700,89500,90300,219034,-1.526717557,3550,LG
2023-04-21,89700,90900,88000,88700,260529,-1.771871539,3550,LG
2023-04-24,88600,88600,87300,87700,128127,-1.127395716,3550,LG
2023-04-25,88300,88300,86000,86400,175972,-1.482326112,3550,LG
2023-04-26,87000,87800,85500,85900,149013,-0.578703704,3550,LG
2023-04-27,86000,87200,85700,86300,200721,0.465657742,3550,LG
2023-04-28,86400,87900,86100,87400,202180,1.274623407,3550,LG
2023-05-02,86500,88900,86500,88600,163799,1.372997712,3550,LG
2023-05-03,88400,89300,87600,88600,204264,0,3550,LG
2023-05-04,88100,90000,87500,89100,196087,0.564334086,3550,LG
2023-05-08,89700,90700,89200,90200,211902,1.234567901,3550,LG
2023-05-09,90300,90700,89300,90100,154353,-0.110864745,3550,LG
2023-05-10,90600,91700,90300,91100,209121,1.109877913,3550,LG
2023-05-11,91100,91600,90500,91000,187528,-0.109769484,3550,LG
2023-05-12,90600,90900,87400,88400,200515,-2.857142857,3550,LG
2023-05-15,87700,88600,87300,88300,128468,-0.113122172,3550,LG
2023-05-16,87300,88500,87300,87900,88149,-0.453001133,3550,LG
2023-05-17,87300,89500,87200,88700,160528,0.910125142,3550,LG
2023-05-18,88100,89900,88100,89400,141103,0.789177001,3550,LG
2023-05-19,89000,90400,88800,89300,209969,-0.111856823,3550,LG
2023-05-22,89700,90200,88600,89000,137813,-0.335946249,3550,LG
2023-05-23,89400,89700,88300,88700,127308,-0.337078652,3550,LG
2023-05-24,88100,89300,87500,89100,107185,0.450958286,3550,LG
2023-05-25,88400,89300,87200,87400,223544,-1.907968575,3550,LG
2023-05-26,86800,87400,86600,87200,122530,-0.228832952,3550,LG
2023-05-30,87500,89000,86100,88100,230434,1.032110092,3550,LG
2023-05-31,87500,88200,85700,86000,545415,-2.383654938,3550,LG
2023-06-01,86400,87700,86300,86800,168848,0.930232558,3550,LG
2023-06-02,87700,88500,86700,88400,167915,1.843317972,3550,LG
2023-06-05,88600,89600,88000,89300,130120,1.018099548,3550,LG
2023-06-07,89800,91300,89700,90200,206879,1.007838746,3550,LG
2023-06-08,90200,91100,89100,90700,240758,0.554323725,3550,LG
2023-06-09,90700,91500,90200,90400,164067,-0.33076075,3550,LG
2023-06-12,91200,91500,89600,90300,135534,-0.110619469,3550,LG
2023-06-13,90700,90900,89400,89900,175916,-0.442967885,3550,LG
2023-06-14,89900,90500,88700,89000,161263,-1.001112347,3550,LG
2023-06-15,88800,89500,87700,88100,183747,-1.011235955,3550,LG
2023-06-16,89000,89500,88100,88700,301490,0.681044268,3550,LG
2023-06-19,88400,88800,87600,88200,142194,-0.563697858,3550,LG
2023-06-20,88200,88600,87700,87900,120789,-0.340136054,3550,LG
2023-06-21,88000,89400,87500,88600,132566,0.796359499,3550,LG
2023-06-22,89500,90200,88700,89400,161753,0.902934537,3550,LG
2023-06-23,89000,90000,87600,87700,132945,-1.901565996,3550,LG
2023-06-26,88000,89100,87200,88100,156637,0.456100342,3550,LG
2023-06-27,87600,88700,87600,88400,144908,0.340522134,3550,LG
2023-06-28,88800,89000,88100,88200,107474,-0.226244344,3550,LG
2023-06-29,88500,89400,87900,88100,161420,-0.113378685,3550,LG
2023-06-30,89000,89000,87100,88000,199450,-0.113507378,3550,LG
2023-07-03,88100,90500,88100,90000,210709,2.272727273,3550,LG
2023-07-04,89800,90700,87500,87500,219345,-2.777777778,3550,LG
2023-07-05,87200,87500,84500,84900,277900,-2.971428571,3550,LG
2023-07-06,85000,85100,82000,82800,365131,-2.473498233,3550,LG
2023-07-07,82800,83800,82200,82800,191527,0,3550,LG
2023-07-10,83900,85500,83000,84800,202204,2.415458937,3550,LG
2023-07-11,85800,85800,84400,85400,168615,0.70754717,3550,LG
2023-07-12,84800,85900,84600,85700,221459,0.351288056,3550,LG
2023-07-13,85700,86600,85000,85200,251748,-0.583430572,3550,LG
2023-07-14,86100,87900,85600,87300,226704,2.464788732,3550,LG
2023-07-17,86400,87500,86100,86300,107922,-1.145475372,3550,LG
2023-07-18,87200,87200,86300,86400,105435,0.115874855,3550,LG
2023-07-19,86400,87000,85500,86400,120996,0,3550,LG
2023-07-20,86400,88100,85800,87500,161778,1.273148148,3550,LG
2023-07-21,87000,87800,85200,87500,173505,0,3550,LG
2023-07-24,87800,87900,86000,87300,164132,-0.228571429,3550,LG
2023-07-25,87100,87400,85800,87100,116017,-0.229095074,3550,LG
2023-07-26,86400,86700,83600,85400,310244,-1.951779564,3550,LG
2023-07-27,85900,87200,84900,85500,301155,0.117096019,3550,LG
2023-07-28,84100,84500,82300,83700,291513,-2.105263158,3550,LG
2023-07-31,84200,84700,83000,83500,197871,-0.238948626,3550,LG
2023-08-01,83100,86200,82500,85700,395080,2.634730539,3550,LG
2023-08-02,86000,87500,85100,86100,249342,0.466744457,3550,LG
2023-08-03,87000,87000,84600,85000,179543,-1.277584204,3550,LG
2023-08-04,84900,84900,83000,83800,220718,-1.411764706,3550,LG
2023-08-07,83300,84700,83300,83500,211632,-0.357995227,3550,LG
2023-08-08,84000,84200,82600,83000,315053,-0.598802395,3550,LG
2023-08-09,83300,84800,82800,84000,204853,1.204819277,3550,LG
2023-08-10,84000,84000,82700,83200,199839,-0.952380952,3550,LG
2023-08-11,83200,83300,82000,82300,281746,-1.081730769,3550,LG
2023-08-14,82300,82400,81000,81200,138960,-1.336573512,3550,LG
2023-08-16,80900,82000,79800,81400,168596,0.246305419,3550,LG
2023-08-17,81000,81300,79500,80800,200403,-0.737100737,3550,LG
2023-08-18,79600,80600,79500,79700,160148,-1.361386139,3550,LG
2023-08-21,80500,81300,80400,81000,196339,1.631116688,3550,LG
2023-08-22,81000,81400,80500,81200,121937,0.24691358,3550,LG
2023-08-23,80600,82000,80500,81500,116506,0.369458128,3550,LG
2023-08-24,81500,82100,81300,82000,106472,0.613496933,3550,LG
2023-08-25,81100,82500,80700,82300,114893,0.365853659,3550,LG
